symbol,price,spread,depth+2%,depth-2%,volume,volume%,spread>5%,category
ETH/USDT,"$1,379.72",0.1%,"$213,046","$167,775","$364,814,588.32",31.96%,0,1
BTC/USDT,"$37,220.74",0.16%,"$84,016","$127,106","$202,470,908.11",17.73%,0,1
ETH/BTC,"$1,379.43",0.56%,"$99,575","$190,978","$146,784,822.31",12.86%,0,1
XRP/USDT,$0.31,0.9%,"$9,865",$846,"$37,410,956.54",3.28%,0,1
BTC/PAX,"$37,252.09",0.48%,"$9,560","$10,514","$26,974,243.76",2.36%,0,1
BTC/USDC,"$37,250.10",0.49%,"$10,316","$12,484","$26,439,236.82",2.32%,0,1
DOT/USDT,$17.25,0.41%,"$73,651","$53,242","$18,349,963.80",1.61%,0,1
UNI/USDT,$9.35,1.28%,"$8,905","$10,401","$17,433,587.88",1.53%,0,1
LINK/USDT,$22.27,0.4%,"$18,030","$16,008","$16,810,696.33",1.47%,0,1
LTC/USDT,$163.29,0.6%,"$32,623","$48,925","$15,979,360.31",1.40%,0,1
LTC/ETH,$163.17,0.84%,"$6,671","$4,997","$15,235,420.65",1.33%,0,1
LINK/ETH,$22.26,0.63%,"$8,728","$7,416","$14,185,908.63",1.24%,0,1
KSM/USDT,$107.16,2.42%,"$3,127","$6,754","$14,148,853.87",1.24%,0,1
SUSHI/USDT,$7.34,0.37%,"$4,853","$3,968","$13,229,116.59",1.16%,0,1
LINK/BTC,$22.30,0.32%,"$11,125","$43,500","$12,777,560.21",1.12%,0,1
LTC/BTC,$163.40,0.57%,"$8,972","$13,627","$12,246,225.61",1.07%,0,1
EOS/ETH,$2.90,0.52%,"$15,311","$11,883","$8,063,573.93",0.71%,0,1
XRP/ETH,$0.31,0.44%,"$9,312","$6,030","$8,008,683.76",0.70%,0,1
XRP/BTC,$0.31,0.36%,"$10,343","$8,685","$7,570,896.85",0.66%,0,1
EOS/USDT,$2.90,0.48%,"$18,035","$18,520","$7,408,287.68",0.65%,0,1
EOS/BTC,$2.90,0.72%,"$13,031","$7,894","$7,173,008.92",0.63%,0,1
HEX/BTC,$0.01,2.84%,$16,"$1,774","$6,459,498.19",0.57%,0,2
NEO/BTC,$27.00,1.1%,"$6,152","$4,460","$5,892,107.75",0.52%,0,1
BSV/USDT,$212.30,1.88%,"$3,974",$668,"$5,873,012.10",0.51%,0,1
TUSD/USDT,$1.00,1.03%,"$130,993","$160,614","$5,502,931.53",0.48%,0,1
WAVES/BTC,$7.61,0.53%,"$2,244","$7,368","$4,838,911.17",0.42%,0,1
XLM/USDT,$0.32,0.36%,"$11,572","$5,082","$4,802,868.45",0.42%,0,1
POLS/USDT,$1.56,1.05%,$6,$815,"$4,593,579.64",0.40%,0,1
XLM/ETH,$0.32,1.45%,"$7,586",$162,"$4,560,622.47",0.40%,0,1
RSR/USDT,$0.05,1.51%,"$5,747","$2,917","$4,546,607.11",0.40%,0,1
USDC/USDT,$1.00,0.97%,"$160,598","$170,276","$4,477,511.20",0.39%,0,1
 BCH/USDT,$529.29,1.32%,"$63,926","$86,965","$3,973,943.89",0.35%,0,3
WAVES/ETH,$7.64,0.87%,"$1,830","$5,527","$3,415,087.01",0.30%,0,1
COMP/USDT,$231.51,1.16%,"$8,863","$7,887","$3,318,627.42",0.29%,0,1
ZEC/BTC,$106.92,0.84%,"$5,213","$27,902","$3,270,682.11",0.29%,0,1
BNB/USDT,$45.57,2.25%,$738,"$1,313","$3,147,995.39",0.28%,0,1
XLM/BTC,$0.32,0.47%,"$12,871","$12,239","$3,132,340.13",0.27%,0,1
PAX/USDT,$1.00,0.93%,"$42,576","$43,932","$3,055,049.92",0.27%,0,1
ZEC/ETH,$107.45,1.44%,"$18,648","$33,556","$3,019,604.61",0.26%,0,1
ZEC/USDT,$106.93,0.23%,"$14,459","$10,292","$3,008,971.18",0.26%,0,1
ABBC/BTC,$0.22,4.36%,$0,$0,"$2,913,895.17",0.26%,0,3
YFI/USDT,"$37,266.32",0.63%,"$2,541","$4,407","$2,692,144.96",0.24%,0,1
NEO/ETH,$27.33,3.0%,"$6,845","$2,115","$2,617,130.89",0.23%,0,1
BAL/USDT,$24.17,0.2%,"$7,457","$7,656","$2,580,284.68",0.23%,0,1
WNXM/USDT,$34.16,1.07%,"$6,772","$7,821","$2,386,795.86",0.21%,0,1
VET/ETH,$0.03,0.82%,$964,"$8,383","$2,306,564.59",0.20%,0,1
LOOM/ETH,$0.06,0.88%,"$1,035","$1,181","$1,972,421.41",0.17%,0,1
LOOM/BTC,$0.06,2.99%,$43,$62,"$1,965,687.85",0.17%,0,1
QTUM/USDT,$3.28,0.28%,"$42,369","$13,829","$1,938,692.48",0.17%,0,1
BCH/BTC,$529.25,1.29%,"$64,982","$207,427","$1,900,874.00",0.17%,0,1
DASH/USDT,$132.58,0.76%,"$11,536","$16,186","$1,534,351.89",0.13%,0,1
TRX/BTC,$0.03,6.64%,$0,$0,"$1,511,762.67",0.13%,1,1
LON/USDT,$2.36,1.87%,"$1,730",$934,"$1,472,892.40",0.13%,0,1
NEO/USDT,$26.98,0.77%,"$16,944","$11,716","$1,415,265.95",0.12%,0,1
TRX/ETH,$0.03,3.34%,$40,$86,"$1,345,203.86",0.12%,0,1
QTUM/ETH,$3.28,0.64%,"$20,711","$1,213","$1,283,877.29",0.11%,0,1
$KING/USDT,$0.16,7.92%,$0,$0,"$1,224,529.67",0.11%,1,2
